Cluster_model,Free Gals,Free Reds,$\chi ^{2}_{\rm SL}$,$\chi ^{2}_{\rm WL}$,chi^2/DOF,N_p,$N^{c}_{\rm SL}$,$N^{c}_{\rm WL}$,z_WL,rms,ln (ev),theta_e,M_e,M_2D,Column1
A209_LTM,1,2,117.2,1268.1,1385.3/1609 = 0.86,11,8,1612,0.95,2.05,-694.6,9.0,0.82,1.97,
A209_NFW,1,2,43.4,1262.9,1306.4/1611 = 0.81,9,8,1612,0.95,1.25,-648.8,8.9,0.75,2.19,
A383_LTM,2,0,152.8,1333.7,1486.5/1602 = 0.93,10,22,1590,1.14,1.5,-705,15.2,2.13,2.39,
A383_NFW,2,0,93.7,1330,1423.6/1600 = 0.89,12,22,1590,1.14,1.17,-679.3,15.0,2.08,1.6,
A611_LTM,1,1,88.8,836,924.8/1111 = 0.83,9,26,1094,0.86,1.14,-460.4,18.9,4.7,5.67,
A611_NFW,1,1,58.3,836.9,895.2/1112 = 0.81,8,26,1094,0.86,0.93,-445.4,17.2,4.08,3.45,
A1423_LTM,1,0,1.6,1286.2,1287.8/1603 = 0.80,7,2,1608,0.92,0.45,-690.4,19.6,3.85,3,
A1423_NFW,0,0,3.4,1284,1287.4/1604 = 0.80,6,2,1608,0.92,0.65,-660.9,17.6,3.24,1.78,
A2261_LTM,1,6,76.7,1119.9,1196.6/1440 = 0.83,16,20,1436,0.79,1.06,-596.9,22.9,5.65,4.05,
A2261_NFW,1,6,50.6,1121.8,1172.4/1441 = 0.81,15,20,1436,0.79,0.86,-573.1,23.4,6.04,3.43,
CL1226_LTM,2,1,131.4,2398.7,2530.1/1686 = 1.50,10,20,1676,0.99,1.53,-1131.5,14.5,8.09,8.14,
CL1226_NFW,2,2,40.1,2400.5,2440.6/1680 = 1.45,14,18,1676,0.99,0.88,-1071.6,14.1,8.73,9.77,
M0329_LTM,2,1,69.9,861.4,931.3/987 = 0.94,9,16,980,1.18,1.26,-436.9,22.8,10.32,7.73,
M0329_NFW,3,1,91.6,862,953.6/982 = 0.97,14,16,980,1.18,1.44,-449,25.4,13.37,7.09,
M0416_LTM,7,11,425.3,955,1380.3/1122 = 1.23,24,44,1102,1.16,1.72,-962.3,25.0,10.35,10.52,
M0416_NFW,7,11,348.9,961.1,1310.0/1117 = 1.17,29,44,1102,1.16,1.56,-678.1,26.7,12.42,8.5,
M0429_LTM,1,0,35.2,1069.7,1104.9/1304 = 0.85,8,10,1302,1.08,1.12,-559.4,15.1,4.15,7.66,
M0429_NFW,1,0,5.4,1064.8,1070.2/1305 = 0.82,7,10,1302,1.08,0.44,-516.4,16.2,4.97,3.78,
M0647_LTM,2,4,133.5,1336.8,1470.2/1537 = 0.96,13,22,1528,1.14,1.4,-755.2,26.3,17.24,11.21,
M0647_NFW,2,4,448.4,1337.1,1785.4/1538 = 1.16,12,22,1528,1.14,2.57,-891,26.4,19.18,10.36,
M0717_LTM,10,9,1858.7,962,2820.7/1045 = 2.70,25,62,1008,1.04,3.18,-1390,sime55,233.85,20.31,
M0744_LTM,2,3,56.1,1359.7,1415.8/1488 = 0.95,12,16,1484,1.32,1,-717.7,25.3,20.7,14.15,
M0744_NFW,1,3,164.8,1360.9,1525.7/1486 = 1.03,14,16,1484,1.32,1.72,-740.6,23.3,19.26,8.15,
M1115_LTM,1,1,48.8,873.6,922.5/975 = 0.95,9,12,972,1.03,1.16,-456.5,17.8,4.99,7.62,
M1115_NFW,1,1,50.4,866.5,916.9/976 = 0.94,8,12,972,1.03,1.18,-451.4,18.5,5.69,5.26,
M1149_LTM,7,9,820.2,1458.7,2278.9/1706 = 1.34,22,68,1660,0.99,2.01,-1072.5,20.4,9.83,14.36,
M1206_LTM,5,5,335.5,989.4,1324.9/1203 = 1.10,17,58,1162,1.13,1.45,-675.7,26.3,13.24,9.3,
M1206_NFW,2,5,483.8,986,1469.8/1207 = 1.22,13,58,1162,1.13,1.74,-695.4,27.3,15.31,9.26,
M1311_LTM,1,0,9.6,758.6,768.2/892 = 0.86,8,6,894,1.03,0.69,-369.7,13.5,4.24,8.96,
M1311_NFW,1,1,2.8,760.3,763.1/892 = 0.86,8,6,894,1.03,0.37,-361.6,14.8,5.09,5.66,
M1423_LTM,1,1,111.4,1684.3,1795.7/1803 = 1.00,9,28,1784,1.04,1.21,-824.1,17.6,7.55,10.93,
M1423_NFW,1,1,164.8,1693.2,1858.0/1804 = 1.03,8,28,1784,1.04,1.47,-853.6,17.8,8.2,6.13,
RXJ1532_LTM,1,0,12,852.3,864.3/1004 = 0.86,8,2,1010,1.07,1.22,-417.5,9.0,1.38,5.35,
RXJ1532_NFW,1,0,1.4,850.7,852.1/1004 = 0.85,8,2,1010,1.07,0.41,-411.5,10.5,1.85,3.09,
M1720_LTM,1,4,83.9,1112.4,1196.3/1272 = 0.94,12,20,1264,1.11,1.15,-642.4,20.4,7.22,7.15,
M1720_NFW,1,4,253.9,1120.3,1374.2/1273 = 1.08,11,20,1264,1.11,1.99,-643.6,19.8,7.36,3.35,
M1931_LTM,1,2,249.2,797.2,1046.4/1422 = 0.74,10,16,1416,0.82,2.28,-538.2,22.7,8.32,6.07,
M1931_NFW,1,2,28.5,791.2,819.6/1423 = 0.58,9,16,1416,0.82,0.77,-461,21.8,7.82,4.57,
M2129_LTM,1,6,560,1590.6,2150.7/1718 = 1.25,16,32,1702,1.23,2.42,-950.4,19.2,9.23,11.85,
M2129_NFW,1,6,333.1,1597.3,1930.4/1721 = 1.12,13,32,1702,1.23,1.86,-846.7,21.8,12.99,8.59,
MS2137_LTM,1,0,51.4,1619.6,1671.0/1572 = 1.06,8,10,1570,1.12,1.27,-790.7,17.2,4.45,3.32,
MS2137_NFW,1,0,19.1,1622.3,1641.3/1573 = 1.04,7,10,1570,1.12,0.77,-779.3,17.0,4.42,2.69,
RXJ1347_LTM,2,4,490.2,1246.3,1736.6/1276 = 1.36,14,24,1266,1.13,2.61,-738.1,33.3,22.65,18.04,
RXJ1347_NFW,2,4,276.5,1251.3,1527.8/1274 = 1.20,16,24,1266,1.13,1.96,-687.9,32.7,22.11,14.99,
RXJ2129_LTM,1,4,88.5,1034.7,1123.1/1198 = 0.94,12,18,1192,0.82,1.26,-522.8,13.3,1.85,3.39,
RXJ2129_NFW,1,4,17.9,1036.4,1054.3/1199 = 0.88,11,18,1192,0.82,0.57,-491.7,12.6,1.63,2.01,
