Radius_kpc,V_observed,V_err,V_gas,V_disk,V_bulge,V_model_predicted,V_baryonic_final
0.16,24.5,2.83,0.0,23.21,0.0,24.645622965610308,15.741787890833749
0.26,35.3,2.46,0.0,35.33,0.0,35.13027957943054,23.96197183038157
0.36,43.2,1.12,1.92,46.97,0.0,44.793945876079896,31.91441075752457
0.46,52.0,1.25,2.29,56.68,0.0,52.86790856729657,38.51039345423518
0.56,60.9,2.93,2.64,63.77,0.0,59.09927599826525,43.33141509344
0.66,65.8,1.25,3.0,67.56,0.0,63.13532627741203,45.91952369090952
0.76,71.7,1.25,3.34,70.83,0.0,66.72408406454716,48.15521253197831
0.86,74.6,1.6,3.68,72.8,0.0,69.40432742825764,49.51230958054774
0.96,74.6,1.03,4.02,74.87,0.0,72.06138857178865,50.93817992429648
1.06,76.6,1.12,4.37,77.12,0.0,74.76101165200885,52.48756351746574
1.16,78.5,1.6,4.75,79.47,0.0,77.46618649998224,54.10807438820938
1.27,83.4,1.8,5.15,82.18,0.0,80.46022578637029,55.974606778431244
1.36,86.4,1.6,5.51,85.19,0.0,83.37103255680213,58.040802079226985
1.47,87.4,1.41,5.76,87.94,0.0,86.28519561354899,59.92129551336486
1.57,90.3,1.41,5.98,90.77,0.0,89.10385762578643,61.852963825511225
1.67,93.3,1.6,6.21,93.98,0.0,92.13027232025225,64.0421321006726
1.77,93.3,1.41,6.42,96.86,0.0,94.91828802046072,66.00660433623291
1.87,95.2,1.25,6.61,99.21,0.0,97.34475518310123,67.61138355336327
1.97,97.2,1.6,6.81,101.42,0.0,99.65942937760369,69.1226709842726
2.08,99.1,2.02,7.01,103.79,0.0,102.13905192448978,70.74197895168045
2.18,98.2,2.02,7.27,106.07,0.0,104.45737469754118,72.30658029529539
2.28,98.2,1.6,7.54,106.73,0.0,105.73680313046385,72.77943620281762
2.37,98.2,1.0,7.81,106.19,0.0,106.1567445618388,72.44378169311705
2.47,97.2,1.12,8.25,105.57,0.0,106.60360700580054,72.07478029102829
2.57,98.2,1.41,8.77,105.08,0.0,107.12226971620598,71.80629390241499
2.68,98.2,1.12,9.31,104.39,0.0,107.5724773357831,71.41023222200023
2.78,98.2,1.6,9.95,103.8,0.0,108.00771356804972,71.10024542854967
2.88,99.1,2.69,10.97,103.16,0.0,108.45335162140779,70.8212840606551
2.98,100.0,2.69,11.96,102.68,0.0,108.9945872642913,70.66049464870736
3.08,102.0,3.16,13.06,102.46,0.0,109.7209060595035,70.70832578982478
3.19,101.0,3.4,14.06,102.29,0.0,110.52852379717918,70.78683412895367
3.29,101.0,3.4,15.05,102.51,0.0,111.51844422383762,71.13593006350588
3.39,103.0,2.93,16.15,102.82,0.0,112.59095324151878,71.58156609071919
3.49,107.0,2.46,17.15,103.06,0.0,113.59914255068009,71.97186780958238
3.59,110.0,2.46,18.14,102.95,0.0,114.38219627793531,72.14196247677215
3.69,112.0,3.4,19.24,103.12,0.0,115.37545802138303,72.53754492674811
3.79,114.0,5.1,20.24,102.93,0.0,116.11663742178489,72.68539505292655
3.9,118.0,5.1,21.03,102.5,0.0,116.70632743952577,72.63013079982714
3.99,118.0,4.85,21.83,101.99,0.0,117.13108521103102,72.53585696743369
4.47,118.0,5.36,25.72,99.49,0.0,119.44275361188171,72.21300468752149
4.97,121.0,2.57,27.81,97.06,0.0,121.22400259544412,71.4625227374461
5.47,124.0,0.22,29.41,94.4,0.0,122.55179998957918,70.45689249463108
5.96,125.0,0.88,30.7,91.13,0.0,123.2034739574707,69.01189298954202
6.46,126.0,0.45,31.7,87.9,0.0,123.68383477452828,67.52065313665146
6.96,126.0,0.55,33.29,84.95,0.0,124.56766658889136,66.54183082843453
7.45,126.0,0.45,34.99,81.98,0.0,125.43920776164445,65.69498827155692
7.95,126.0,0.24,36.58,79.11,0.0,126.34190537810422,64.93809949482662
8.45,127.0,1.45,38.38,76.42,0.0,127.50235002527394,64.49365816884634
8.94,128.0,1.12,39.97,74.09,0.0,128.73456298807315,64.20819126871586
9.44,128.0,1.68,41.47,71.75,0.0,129.94702366868128,63.936450089131476
9.94,127.0,2.56,42.57,69.58,0.0,130.96994931200246,63.555000149476825
10.43,127.0,1.24,43.96,67.61,0.0,132.3156762147631,63.52317030816394
10.93,128.0,0.21,45.06,65.75,0.0,133.52904777564967,63.395680846568716
11.43,130.0,1.13,45.76,64.12,0.0,134.5296924174682,63.128518309873236
11.92,130.0,2.23,46.15,62.55,0.0,135.24885520481658,62.68631150418725
12.42,132.0,2.68,46.65,61.06,0.0,136.11231377215466,62.379895447171116
12.92,133.0,2.68,46.95,59.67,0.0,136.82642011054446,61.98497071064889
13.42,133.0,3.37,46.75,58.37,0.0,137.0918655484863,61.260172004329206
13.91,133.0,3.81,46.25,57.26,0.0,137.11025649748854,60.39261540950185
14.41,133.0,2.56,45.95,56.12,0.0,137.28318529689315,59.667005321199085
14.91,134.0,0.56,45.66,55.05,0.0,137.46563585851743,58.98191883959015
15.4,134.0,0.79,45.26,54.06,0.0,137.52492515034373,58.24783305840656
15.9,133.0,0.67,44.76,53.11,0.0,137.48749459566932,57.45404046714208
16.4,134.0,2.35,44.16,52.26,0.0,137.36397278836756,56.62521607905792
16.89,134.0,4.13,43.36,51.43,0.0,136.9851550983178,55.648991491310966
17.39,136.0,3.91,42.67,50.61,0.0,136.70411289244228,54.76276167250881
17.89,136.0,6.38,41.87,49.84,0.0,136.29549617476266,53.81216104190576
18.38,135.0,8.39,41.07,49.16,0.0,135.8828168547492,52.90018408285551
18.88,133.0,7.83,40.27,48.46,0.0,135.43748631188177,51.98003305116302
19.38,134.0,6.26,39.87,47.78,0.0,135.40624648310475,51.37863334110786
19.87,136.0,5.6,39.87,47.15,0.0,135.80738316765957,51.110206906253076
20.37,135.0,5.24,39.87,46.52,0.0,136.20866611870397,50.843954252201904
20.87,134.0,3.12,39.87,45.97,0.0,136.64308339015946,50.61331557999337
