galaxy_id,m_baryonic_10_11_msun,observed_einstein_radius_kpc,M_baryonic_absolute_sun,Calculated_R_BB_kpc
SDSSJ3541-2639,0.708340080048284,9.23969763555434,70834008004.8284,9.35246672428305
SDSSJ9926-4369,0.71552754554837,9.33596807383169,71552754554.83699,9.39979630032928
SDSSJ5714-2829,0.786138680793335,9.95269477843645,78613868079.33351,9.852690630530807
SDSSJ6344-6988,0.789929523873043,9.91585679489946,78992952387.3043,9.876417414895595
SDSSJ4453-3998,0.933948751825986,10.6750738450346,93394875182.5986,10.739072802917363
SDSSJ9186-3906,0.941449443819408,10.5154719061994,94144944381.9408,10.782110172461703
SDSSJ8679-8772,0.98066973682346,10.8736030189925,98066973682.34601,11.004407145616577
SDSSJ7026-8962,1.03489971852872,11.109488118545,103489971852.87201,11.304579124865459
SDSSJ6091-1487,1.03494388345363,11.4850628157698,103494388345.36299,11.304820336913712
SDSSJ8082-5120,1.1145375076832,11.493098432117,111453750768.32,11.731474684767269
SDSSJ3952-2467,1.14934877498682,11.7875657849012,114934877498.682,11.913275418966602
SDSSJ1889-3139,1.15463350329264,12.0384709665147,115463350329.264,11.940632745166058
SDSSJ5931-1778,1.26504699063775,12.5683340306259,126504699063.775,12.49852008608272
SDSSJ5426-4735,1.30482790790932,12.1054488715268,130482790790.93199,12.693514458133501
SDSSJ7912-2057,1.33544079143164,12.995702564426,133544079143.164,12.841554002461283
SDSSJ2583-6131,1.38229694770794,12.8667467793934,138229694770.794,13.06489543173759
SDSSJ5716-7411,1.3831263564562,13.1645814496493,138312635645.62,13.068814457092783
SDSSJ8329-5829,1.44920361560895,13.2896751102695,144920361560.89502,13.37734624432575
SDSSJ6438-9629,1.46512810980429,13.4776809461464,146512810980.42902,13.450643555181388
SDSSJ1507-7283,1.50752835549181,13.1436734443599,150752835549.181,13.64388368591145
SDSSJ7562-9501,1.6096777955589,13.9653412786192,160967779555.88998,14.098559457916434
SDSSJ5992-6768,1.77224296359238,14.3601267175233,177224296359.238,14.793362312620468
SDSSJ7416-6402,1.80026922875656,15.3609221393164,180026922875.656,14.909874665788115
