Galaxy,Rad_kpc,Vobs,errV,Vgas,Vdisk,Vbulge,Rad_meters,V_baryonic_sq,V_baryonic,Accel,Exponent,Nu,V_calculated
F561-1,1.61,23.4,10.0,5.21,28.61,0.0,4.96846e+19,403.668866,20.091512287530772,8.124627470081272e-12,0.21091202024579797,5.258876442445577,46.07433873596148
F561-1,3.23,40.6,5.0,10.57,37.58,0.0,9.96778e+19,761.3628440000001,27.592804206894233,7.638238845560397e-12,0.2045013693813813,5.406972720130241,64.16126656814667
F561-1,4.84,45.5,5.0,15.71,39.1,0.0,1.493624e+20,950.0567000000002,30.82298979657879,6.360748756045699e-12,0.1866180830626641,5.874080007697778,74.70414357751065
F561-1,6.45,49.2,5.0,20.94,44.01,0.0,1.99047e+20,1329.448446,36.46160235096642,6.679067988967431e-12,0.19123066504654646,5.745213023807818,87.39544911744699
F561-1,8.06,50.4,5.0,25.97,48.52,0.0,2.487316e+20,1757.368484,41.9209790439107,7.065320546323826e-12,0.19668241774750192,5.600718200709357,99.20950384762445
F561-1,9.66,50.4,5.0,29.26,49.44,0.0,2.981076e+20,1980.531856,44.50316680866655,6.643681194307023e-12,0.1907234065987547,5.759078927745631,106.79906028434213
UGC03546,0.63,262.0,73.6,-0.79,82.82,389.26,1.94418e+19,72856.5741,269.9195696869717,3.7474191741505405e-09,4.529661416098365,1.0109018964689744,271.3868989614686
UGC03546,0.79,250.0,55.5,-0.85,98.9,366.12,2.43794e+19,66160.252124,257.21635275386365,2.713776882285865e-09,3.8546652839166957,1.0216390210747255,259.9844134059202
UGC03546,0.95,241.0,42.9,-0.88,113.48,343.54,2.9317e+19,60213.597720000005,245.38459144779242,2.0538799235938193e-09,3.3534136523545226,1.0362316237046,249.79038038821912
UGC03546,1.11,234.0,31.9,-0.87,126.74,322.48,3.4254600000000004e+19,55226.69078000001,235.00359737672105,1.6122415903265546e-09,2.9710821719210014,1.0540160249573187,241.26710734677988
UGC03546,1.27,228.0,28.8,-0.8,138.83,303.96,3.91922e+19,51366.74722999999,226.64233326984612,1.3106369948612223e-09,2.6788032332521663,1.0737047380929747,234.8461621599876
UGC03546,1.43,225.0,24.2,-0.68,149.76,286.96,4.41298e+19,48196.54803199999,219.53712221854414,1.0921542366382804e-09,2.4453531681640235,1.094925090681111,229.72072114734036
UGC03546,1.59,222.0,12.2,-0.44,159.73,272.22,4.90674e+19,45824.19819800001,214.065873501593,9.33903125048403e-10,2.261260088952346,1.1163443805935194,226.17600702448743
UGC03546,1.9,221.0,6.34,0.78,176.94,249.03,5.8634e+19,42929.51247,207.19438329742437,7.321607338745438e-10,2.002178622702086,1.156123841867426,222.78202998965597
UGC03546,2.06,221.0,12.2,1.08,185.04,239.17,6.35716e+19,42064.52803,205.09638716954524,6.616874206406633e-10,1.9033823701130466,1.1751759278790965,222.33582877811554
UGC03546,2.22,222.0,16.9,1.32,192.44,230.43,6.850920000000001e+19,41462.06611,203.62236151758972,6.052043537218359e-10,1.8203320892924781,1.1932774844483556,222.43144999700968
UGC03546,2.38,222.0,26.0,1.56,199.32,222.52,7.34468e+19,41054.495488,202.61908964359702,5.589691516580709e-10,1.749417729547735,1.2104707995198312,222.9243548319534
UGC03546,2.79,221.0,13.1,2.09,211.11,205.57,8.60994e+19,39944.53832000001,199.86129770418285,4.6393515309049784e-10,1.5937795267003605,1.2549512912987697,223.8938363265438
UGC03546,2.86,221.0,11.8,2.18,212.46,203.04,8.82596e+19,39732.419272,199.32992568101758,4.5017674306251095e-10,1.5699691935466136,1.2627085165909357,223.9876429616514
UGC03546,3.02,220.0,22.9,2.37,214.79,197.59,9.31972e+19,39186.830912000005,197.956638969245,4.2047219135338844e-10,1.5172887661229648,1.2809110587237422,224.0420609428466
UGC03546,4.17,205.0,8.45,2.86,211.54,168.15,1.286862e+20,33599.032886,183.30038975954199,2.6109274254737495e-10,1.195630549890708,1.4337187747300122,219.480213826735
UGC03546,5.56,190.0,13.3,-1.54,194.36,145.62,1.715816e+20,27133.628840000005,164.72288499173393,1.5813833674473258e-10,0.9305038761015034,1.6511321392644847,211.66295526756147
UGC03546,6.96,190.0,8.87,-5.89,186.95,130.15,2.147856e+20,23903.781600000002,154.60847842210984,1.11291360314658e-10,0.780603202404686,1.8454596685260638,210.0320567629033
UGC03546,8.35,198.0,3.19,-6.18,182.36,118.83,2.57681e+20,21831.032110000004,147.75328121568063,8.472115565369585e-11,0.6810759405543296,2.024587381728702,210.23518292621748
UGC03546,9.73,204.0,2.56,5.96,181.71,110.08,3.002678e+20,20798.141630000002,144.21560813587413,6.926530793511659e-11,0.615825244397283,2.174834598836147,212.6793784277602
UGC03546,11.14,204.0,1.09,14.87,174.04,102.88,3.437804e+20,19023.25626,137.92482104392957,5.533548817791823e-11,0.5504292140978909,2.3624031766450506,211.99198338323276
UGC03546,12.51,201.0,0.57,22.04,166.83,97.08,3.860586e+20,17623.878238,132.75495560618444,4.5650785238303205e-11,0.49994672676856255,2.5417028136747177,211.64749208385444
UGC03546,13.88,203.0,0.75,28.09,161.75,92.17,4.283368e+20,16731.898944,129.35184167223906,3.9062482943328716e-11,0.4624656979561017,2.700724663734339,212.57528583815042
UGC03546,15.35,202.0,0.89,32.2,157.11,87.64,4.73701e+20,15924.427982000003,126.19202820305252,3.3617045313393896e-11,0.42902181217335167,2.8665264406411133,213.65344336679485
UGC03546,16.72,198.0,1.58,34.45,151.02,83.97,5.1597919999999993e+20,14921.483098,122.15352265898844,2.8918768620905658e-11,0.3979142584263811,3.046176559339238,213.19819896918509
